week_yr,comment,follow,like,message
2013-w09,0.0,100.0,0.0,0.0
2013-w10,0.0,66.7,33.3,0.0
2013-w12,0.0,100.0,0.0,0.0
2013-w15,0.0,50.0,0.0,50.0
2013-w18,0.0,100.0,0.0,0.0
2013-w19,0.0,100.0,0.0,0.0
2013-w20,0.0,100.0,0.0,0.0
2013-w23,0.0,0.0,0.0,100.0
2013-w26,0.0,100.0,0.0,0.0
2014-w03,0.0,0.0,100.0,0.0
2014-w15,0.0,100.0,0.0,0.0
2014-w52,0.0,0.0,100.0,0.0
2015-w04,0.0,100.0,0.0,0.0
2015-w20,0.0,100.0,0.0,0.0
2015-w28,100.0,0.0,0.0,0.0
