,0.1/0.5,0.1/0.75,0.1/0.9,0.25/0.5,0.25/0.75,0.25/0.9,0.5/0.5,0.5/0.75,0.5/0.9
Q1,2.32,2.68,2.52,2.32,2.68,2.52,2.32,2.68,2.52
Q2,2.97,3.03,2.86,2.97,3.03,2.86,2.97,3.03,2.86
Q3,3.28,4.29,4.32,3.28,4.29,4.32,3.28,4.29,4.32
Q4,3.29,2.32,2.25,3.29,2.32,2.25,3.29,2.32,2.25
