,0.1/0.5,0.1/0.75,0.1/0.9,0.25/0.5,0.25/0.75,0.25/0.9,0.5/0.5,0.5/0.75,0.5/0.9
Q1,,,,1.82,2.03,2.49,2.14,2.42,2.97
Q2,,,,0.8,0.82,0.91,1.32,1.49,1.64
Q3,3.06,4.08,6.72,3.06,4.08,6.72,3.06,4.08,6.72
Q4,1.19,1.11,1.04,1.19,1.11,1.04,1.19,1.11,1.04
