,0.1/0.5,0.1/0.75,0.1/0.9,0.25/0.5,0.25/0.75,0.25/0.9,0.5/0.5,0.5/0.75,0.5/0.9
Q1,2.97,2.97,2.97,2.97,2.97,2.97,2.97,2.97,2.97
Q2,0.91,1.64,,0.91,1.64,,0.91,1.64,
Q3,3.96,7.2,14.25,3.7,6.72,13.3,3.02,5.48,10.84
Q4,0.68,1.04,1.73,0.68,1.04,1.73,0.68,1.04,1.73
