,0.1/0.5,0.1/0.75,0.1/0.9,0.25/0.5,0.25/0.75,0.25/0.9,0.5/0.5,0.5/0.75,0.5/0.9
Q1,2.97,2.97,2.62,2.97,2.97,2.62,2.97,2.97,2.62
Q2,1.09,1.09,1.09,1.64,1.64,1.64,1.62,1.61,1.61
Q3,15.88,15.88,15.88,6.72,6.72,6.72,6.45,6.43,6.43
Q4,3.0,2.51,2.26,1.23,1.04,0.93,0.79,0.66,0.59
