,week_yr,total,week_yr_date
0,2013-w09,5,2013-03-04
1,2013-w10,3,2013-03-11
2,2013-w12,1,2013-03-25
3,2013-w15,4,2013-04-15
4,2013-w18,1,2013-05-06
5,2013-w19,1,2013-05-13
6,2013-w20,1,2013-05-20
7,2013-w23,2,2013-06-10
8,2013-w26,1,2013-07-01
9,2014-w03,1,2014-01-20
10,2014-w15,1,2014-04-14
11,2014-w52,1,2014-12-29
12,2015-w04,1,2015-01-26
13,2015-w20,1,2015-05-18
14,2015-w28,1,2015-07-13
