,0.1/0.5,0.1/0.75,0.1/0.9,0.25/0.5,0.25/0.75,0.25/0.9,0.5/0.5,0.5/0.75,0.5/0.9
Q1,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68
Q2,2.86,3.03,3.3,2.86,3.03,3.3,2.86,3.03,3.3
Q3,4.68,4.29,4.46,4.68,4.29,4.46,4.68,4.29,4.46
Q4,3.54,2.32,2.04,3.54,2.32,2.04,3.54,2.32,2.04
